SchulNr;RegSchl;KoRe;KoHo;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtDerTraegerschaft;SchultraegerNr;Schulgliederung;Ganztagsbetrieb;Aktiv;gueltigVon;gueltigBis
78402;124000;376873;5679490;Freie Schule Wuppertal e.V.;Trägerverein;;42287;Wuppertal;Zu den Erbhöfen 39 A;0202;2653197;00;2;Wuppertal, Freie Schule e.V.;1;20001016;36;0;;0;1;;
78414;970024;429121;5645772;Schulzweckverband;der Städte Kreuztal und Hilchenbach;;57223;Kreuztal;Siegener Straße 5;02732;51223;00;1;Kreuztal, Schulzweckverband;1;20001201;08;0;;0;1;;
78815;334002;292681;5628104;Amos-Comenius-Schule;Private Schule Aachen GmbH;Geschäftsf.: Hans-Albert Ohnesorge;52074;Aachen;Händelstr. 10;0241;4017882;00;2;Aachen, Amos-Comenius-Schule Aachen GmbH;1;20001115;35;0;;0;1;;
78979;974028;455927;5729031;Marienschule Lippstadt e.V.;;;59558;Lippstadt;Ostlandstr. 13;02941;88585;00;2;Lippstadt, Marienschule e.V.;1;20020101;55;0;;0;1;;
78980;966020;434261;5661152;Gymnasium Maria Königin e.V.;;;57368;Lennestadt;Olper Str. 46;02723;68780;00;2;Lennestadt, Gymnasium Maria Königin e.V.;1;20020101;55;0;;0;1;;
79182;315000;354365;5647048;Trägerverein der Jüdischen Schule;zu Köln e.V.;;50823;Köln;Ottostraße 85;0221;71662402;00;2;Köln, Trägerverein der Jüdischen Schule;1;20020801;99;0;;0;1;;
79479;962048;413504;5680241;Trägerverein der;Waldorf-Dorfschule Lennetal e.V.;;58809;Neuenrade;Remmelshagen 1-5;02392;913667;00;2;Neuenrade, Trägerverein Waldorfschule;1;20020801;60;0;;0;1;;
79583;970040;429883;5637331;Johanna-Ruß-Schule e.V.;- Vorstand -;;57072;Siegen;Numbachstr. 3;0271;23313;00;2;Siegen, Johanna-Ruß-Schule e.V.;1;20030101;60;0;;0;1;;
79741;374040;404107;5645449;Trägerverein;Die Schul- und Lern-Gemeinschaft e.V.;z. Hd. Herrn Johannes Menn;51580;Reichshof;Sotterbacher Str. 3;02296;999020;00;2;Reichshof, Die Schul- u. Lern-Gem. e.V.;1;20030801;36;0;;0;1;;
79790;358016;312732;5616942;Gemeinnützige Schulgesellschaft;Franziskus-Gymnasium Vossenack mbH;;52393;Hürtgenwald;Franziskusweg 1;02429;30860;00;2;Hürtgenwald, Gemeinn. Schulg. Franziskus;1;20020101;35;0;;0;1;;
79911;770024;488398;5791032;Freie Waldorfschule Minden e.V.;;;32429;Minden;Haberbreede 37;05734;96040;00;2;Minden, Freie Waldorfschule Minden e.V.;1;20040101;60;0;;0;1;;
80007;315000;355837;5643498;bm-gesellschaft für bildung;in medienberufen mbh;;50677;Köln;Sachsenring 79;0221;78970-0;00;2;Köln, bm-gesellschaft f. bild. in medien;1;20040201;35;0;;0;1;;
80123;316000;360815;5657353;Currenta GmbH & Co. OHG;als Schulträger d. BK Werkberufsschule;u.Fachschule für Technik (Chemietechnik);51375;Leverkusen;Chempark Gebäude K 46;0214;3025911;00;2;Leverkusen, Currenta GmbH & Co. OHG;1;20040601;35;0;;0;1;;
80305;370040;303305;5669682;Freie Waldorfschule;Kreis Heinsberg e.V.;z.Hd. des Vorstandes;41844;Wegberg;Dechant-Ruppertzhoven-Weg 12;02436;380077;00;2;Wegberg, FW Kreis Heinsberg e.V.;1;20040801;60;0;;0;1;;
80755;958036;463358;5689526;Josefsheim gGmbH;- Geschäftsführung -;;59939;Olsberg;Heinrich-Sommer-Str. 13;02962;800471;00;2;Olsberg, Josefsheim gGmbH;1;20041116;55;0;;0;1;;
80780;554044;368453;5744407;Benediktushof gGmbH;;;48734;Reken;Meisenweg 15;02864;889400;00;2;Reken, Benediktushof gGmbH;1;20050101;55;0;;0;1;;
80792;374044;402228;5636695;IWK-Institut für Weiterbildung;in der Kranken- und Altenpflege gGmbH;;51545;Waldbröl;Brölbahnstraße 19;02291;901333;00;2;Delmenhorst, IWK-Inst. f. Weiterbildung;1;20050201;35;0;;0;1;;
81012;315000;359205;5638146;Berufsförderungswerk;Michaelshoven gGmbH;;50999;Köln;Pfarrer-te-Reh-Str. 5;0221;99562250;00;2;Köln, Berufsförderungswerk Michaelshoven;1;20050101;44;0;;0;1;;
81152;158036;363296;5682829;Freie gemeinnützige Gesellschaft;für Aktive Bildung mbH;c/o Herr Robert Freitag;42489;Wülfrath;Düsseler Str. 21;02058;7764022;00;2;Wülfrath, Fr. gemeinnützige Gesellschaft;1;20050801;35;0;;0;1;;
81267;334002;293733;5627231;Verein Parzival-Schule Aachen e.V.;;;52074;Aachen;Aachener-und-Münchener-Allee 5;0241;5596944;00;2;Aachen, Verein Parzival-Schule e.V.;1;20060801;36;0;;0;1;;
81309;566092;423504;5796565;Schulzweckverband Lotte-Westerkappeln;;;49492;Westerkappeln;Große Straße 13;;;00;1;Westerkappeln, Schulzweckverband Lotte-W;1;20060801;08;0;;0;1;;
81346;974020;463252;5715320;Regenbogen Bildungswerkstatt e. V.;;;59590;Geseke;Steinhauser Str. 8;02954;9796215;00;2;Paderborn,Regenbogen Bildungswerkst.e.V.;1;20060801;36;0;;0;1;;
81358;970040;430962;5637283;DRK-Kinderklinik Siegen gGmbH;;;57072;Siegen;Wellersbergstr. 60;0271;23450;00;2;Siegen, DRK-Kinderklinik Siegen gGmbH;1;20060801;35;0;;0;1;;
81360;170032;330907;5718611;Montessori-Verein Wesel e.V.;;;47495;Rheinberg;Pastor-Wilden-Str. 7;02802;9484750;00;2;Rheinberg, Montessori-Verein Wesel e.V.;1;20060809;36;0;;0;1;;
81371;515000;406422;5756986;Montessori-Schule Münster e.V.;z.H. Frau Eva Grindel;;48155;Münster;Soester Str. 13;0251;6097060;00;2;Münster, Montessori-Schule Münster e.V.;1;20060801;36;0;;0;1;;
81449;315000;358891;5645126;MW Malteser Werke gGmbH;;;51103;Köln;Erna-Scheffler-Str. 2;0221;98221800;00;2;Köln, MW Malteser Werke gGmbH;1;20070801;35;0;;0;1;;
81474;954020;390425;5697510;Förderschule im Alten Pfarrhaus GmbH;;;58313;Herdecke;Kirchender Dorfweg 21;02330;608015;00;2;Herdecke, Fördersch. im Alten Pfarrhaus;1;20070801;35;0;;0;1;;
81486;770004;486373;5783485;ESTA-Bildungswerk gGmbH;Zentrale Geschäftsführung;;32545;Bad Oeynhausen;Bismarckstr. 8;05731;157-0;00;2;Bad Oeynhausen, ESTA-Bildungswerk gGmbH;1;20070801;35;0;;0;1;;
