Gliederung;FKS;DQR_Niveau;gueltigVon;gueltigBis
A02;55500;4;;
A02;55601;4;;
A02;55602;4;;
A02;55700;4;;
A02;55800;3;;
A02;55900;4;;
A02;56000;4;;
A02;56100;4;;
A02;56200;4;;
A02;56300;4;;
A02;56400;4;;
A02;56500;4;;
A02;56600;4;;
A02;56700;3;;
A02;56801;3;;
A02;56802;3;;
A02;56901;4;;
A02;56902;4;;
A02;57000;4;;
A02;57100;4;;
A02;57200;4;;
A02;57300;4;;
A02;57400;3;;
A02;57500;4;;
A02;57600;4;;
A02;57700;3;;
A02;57800;3;;
A02;57900;4;;
A02;58000;4;;
A02;58100;4;;
A02;58200;4;;
A02;58300;4;;
A02;58400;4;;
A02;58501;4;;
A02;58502;4;;
A02;58601;3;;
A02;58602;3;;
A02;58701;4;;
A02;58702;4;;
A02;58703;4;;
A02;58800;4;;
A02;58900;4;;
A02;59000;3;;
A02;59100;4;;
A02;59200;4;;
A02;59300;4;;
A02;59400;4;;
A02;59500;3;;
A02;59600;4;;
A02;59701;4;;
A02;59702;4;;
A02;59703;4;;
A02;59704;4;;
A02;59705;4;;
A02;59706;4;;
A02;59801;4;;
A02;59802;4;;
A02;59803;4;;
A02;59900;4;;
A02;60000;4;;
A02;60101;3;;
A02;60102;3;;
A02;60103;3;;
A02;60104;3;;
A02;60200;4;;
A02;60300;4;;
A02;60400;4;;
A02;60500;4;;
A02;60600;4;;
A02;60700;4;;
A02;60800;4;;
A02;60900;4;;
A02;61000;4;;
A02;61101;4;;
A02;61102;4;;
A02;80100;4;;
A02;80200;4;;
A02;80300;4;;
A02;80400;4;;
A02;80500;3;;
A02;80800;4;;
A02;80900;4;;
A02;81000;4;;
A02;81100;3;;
A02;81300;4;;
A02;81400;4;;
A02;81500;3;;
A02;81600;3;;
A02;81700;3;;
A02;81800;4;;
A02;81900;4;;
A02;82200;4;;
A02;82300;3;;
A02;82400;3;;
A02;82500;4;;
A02;82600;3;;
A02;82700;4;;
A02;82800;4;;
A02;83000;4;;
A02;83100;3;;
A02;83200;3;;
A02;83300;3;;
A02;83400;3;;
A02;83500;4;;
A02;83600;4;;
A02;83700;4;;
A02;83800;4;;
A02;83900;3;;
A02;84000;4;;
A02;84200;4;;
A02;84300;3;;
A02;84400;3;;
A02;84701;3;;
A02;84702;3;;
A02;84800;3;;
A02;84900;3;;
A02;85100;4;;
A02;85201;4;;
A02;85202;4;;
A02;85300;3;;
A02;85401;3;;
A02;85402;3;;
A02;85403;3;;
A02;85404;3;;
A02;85500;4;;
A02;85600;4;;
A02;85700;3;;
A02;85900;4;;
A02;86100;4;;
A02;86200;4;;
A02;86300;4;;
A02;86400;4;;
A02;86500;3;;
A02;86600;4;;
A02;86700;4;;
A02;86800;4;;
A02;86900;4;;
A02;87000;3;;
A02;87100;4;;
A02;87200;4;;
A02;87300;4;;
A02;87400;4;;
A02;87500;4;;
A02;87600;4;;
A02;87700;3;;
A02;87800;4;;
A02;87900;4;;
A02;88000;3;;
A02;88100;4;;
A02;88200;4;;
A02;88300;4;;
A02;88400;4;;
A02;88500;4;;
A02;88600;4;;
A02;88700;4;;
A02;88800;3;;
A02;88900;3;;
A02;89000;3;;
A02;89100;4;;
A02;99901;4;;
A02;99902;4;;
A02;99903;4;;
A02;99904;4;;
A02;99905;4;;
A02;99906;4;;
A02;99907;4;;
A02;99908;4;;
A02;99909;4;;
A02;99910;4;;
A02;99911;4;;
A02;99912;4;;
A02;99913;4;;
A03;10100;4;;
A03;10104;4;;
A03;10300;4;;
A03;10501;4;;
A03;10502;4;;
A03;10503;4;;
A03;10504;4;;
A03;10505;4;;
A03;10600;4;;
A03;10700;3;;
A03;10750;3;;
A03;10751;3;;
A03;10752;3;;
A03;10753;3;;
A03;10754;3;;
A03;10755;3;;
A03;10800;4;;
A03;11000;4;;
A03;11300;4;;
A03;11400;4;;
A03;11500;4;;
A03;11600;4;;
A03;11700;4;;
A03;11800;4;;
A03;12201;3;;
A03;12202;3;;
A03;12500;4;;
A03;12600;4;;
A03;12700;4;;
A03;12900;4;;
A03;13000;4;;
A03;13100;4;;
A03;13200;4;;
A03;13400;4;;
A03;13401;4;;
A03;13402;4;;
