SNR;SGL;FSP;gueltigVon;gueltigBis
102234;   ;SG;;
102234;   ;BL;;
102234;   ;SH;;
102246;   ;EZ;;
102246;   ;LB;;
102246;   ;SB;;
102246;   ;GB;;
102246;   ;GH;;
102246;   ;SG;;
102246;   ;BL;;
102246;   ;SH;;
102258;   ;BL;;
102258;   ;SH;;
102258;   ;EZ;;
102258;   ;LB;;
102258;   ;SB;;
102258;   ;GB;;
102258;   ;GH;;
102258;   ;SG;;
102260;   ;EZ;;
102260;   ;LB;;
102260;   ;SB;;
102260;   ;GB;;
102260;   ;GH;;
102260;   ;SG;;
102260;   ;BL;;
102260;   ;SH;;
102271;   ;EZ;;
102271;   ;LB;;
102271;   ;SB;;
102271;   ;GB;;
102271;   ;GH;;
102271;   ;SG;;
102271;   ;BL;;
102271;   ;SH;;
102283;   ;BL;;
102283;   ;SH;;
102283;   ;EZ;;
102283;   ;LB;;
102283;   ;SB;;
102283;   ;GB;;
102283;   ;GH;;
102283;   ;SG;;
102295;   ;EZ;;
102295;   ;LB;;
102295;   ;SB;;
102295;   ;GB;;
102295;   ;GH;;
102295;   ;SG;;
102295;   ;BL;;
102295;   ;SH;;
102301;   ;BL;;
102301;   ;SH;;
102301;   ;EZ;;
102301;   ;LB;;
102301;   ;SB;;
102301;   ;GB;;
102301;   ;GH;;
102301;   ;SG;;
102362;   ;EZ;;
102362;   ;LB;;
102362;   ;SB;;
102362;   ;GB;;
102362;   ;GH;;
102362;   ;SG;;
102362;   ;BL;;
102362;   ;SH;;
102386;   ;EZ;;
102386;   ;LB;;
102386;   ;SB;;
102386;   ;GB;;
102386;   ;GH;;
102386;   ;SG;;
102386;   ;BL;;
102386;   ;SH;;
102398;   ;EZ;;
102398;   ;LB;;
102398;   ;SB;;
102398;   ;GB;;
102398;   ;GH;;
102398;   ;SG;;
102398;   ;BL;;
102398;   ;SH;;
102404;   ;BL;;
102404;   ;SH;;
102404;   ;EZ;;
102404;   ;LB;;
102404;   ;SB;;
102404;   ;GB;;
102404;   ;GH;;
102404;   ;SG;;
102416;   ;EZ;;
102416;   ;LB;;
102416;   ;SB;;
102416;   ;GB;;
102416;   ;GH;;
102416;   ;SG;;
102416;   ;BL;;
102416;   ;SH;;
102430;   ;BL;;
102430;   ;SH;;
102430;   ;EZ;;
102430;   ;LB;;
102430;   ;SB;;
102430;   ;GB;;
102430;   ;GH;;
102430;   ;SG;;
102453;   ;EZ;;
102453;   ;LB;;
102453;   ;SB;;
102453;   ;GB;;
102453;   ;GH;;
102453;   ;SG;;
102453;   ;BL;;
102453;   ;SH;;
102465;   ;BL;;
102465;   ;SH;;
102465;   ;EZ;;
102465;   ;LB;;
102465;   ;SB;;
102465;   ;GB;;
102465;   ;GH;;
102465;   ;SG;;
102489;   ;EZ;;
102489;   ;LB;;
102489;   ;SB;;
102489;   ;GB;;
102489;   ;GH;;
102489;   ;SG;;
102489;   ;BL;;
102489;   ;SH;;
102490;   ;BL;;
102490;   ;SH;;
102490;   ;EZ;;
102490;   ;LB;;
102490;   ;SB;;
102490;   ;GB;;
102490;   ;GH;;
102490;   ;SG;;
102507;   ;EZ;;
102507;   ;LB;;
102507;   ;SB;;
102507;   ;GB;;
102507;   ;GH;;
102507;   ;SG;;
102507;   ;BL;;
102507;   ;SH;;
102519;   ;EZ;;
102519;   ;LB;;
102519;   ;SB;;
102519;   ;GB;;
102519;   ;GH;;
102519;   ;SG;;
102519;   ;BL;;
102519;   ;SH;;
102520;   ;EZ;;
102520;   ;LB;;
102520;   ;SB;;
102520;   ;GB;;
102520;   ;GH;;
102520;   ;SG;;
102520;   ;BL;;
102520;   ;SH;;
102532;   ;BL;;
102532;   ;SH;;
102532;   ;EZ;;
102532;   ;LB;;
102532;   ;SB;;
102532;   ;GB;;
102532;   ;GH;;
102532;   ;SG;;
102544;   ;EZ;;
102544;   ;LB;;
102544;   ;SB;;
102544;   ;GB;;
102544;   ;GH;;
102544;   ;SG;;
102544;   ;BL;;
102544;   ;SH;;
102556;   ;EZ;;
102556;   ;LB;;
102556;   ;SB;;
102556;   ;GB;;
102556;   ;GH;;
102556;   ;SG;;
102556;   ;BL;;
102556;   ;SH;;
102570;   ;BL;;
102570;   ;SH;;
102570;   ;EZ;;
102570;   ;LB;;
102570;   ;SB;;
102570;   ;GB;;
102570;   ;GH;;
102570;   ;SG;;
102600;   ;EZ;;
102600;   ;LB;;
102600;   ;SB;;
102600;   ;GB;;
102600;   ;GH;;
102600;   ;SG;;
102600;   ;BL;;
102600;   ;SH;;
102623;   ;EZ;;
102623;   ;LB;;
102623;   ;SB;;
102623;   ;GB;;
102623;   ;GH;;
102623;   ;SG;;
102623;   ;BL;;
102623;   ;SH;;
102635;   ;EZ;;
102635;   ;LB;;
102635;   ;SB;;
102635;   ;GB;;
102635;   ;GH;;
102635;   ;SG;;
102635;   ;BL;;
102635;   ;SH;;
102647;   ;EZ;;
102647;   ;LB;;
102647;   ;SB;;
102647;   ;GB;;
102647;   ;KB;;
102647;   ;GH;;
102647;   ;SG;;
102647;   ;BL;;
102647;   ;SH;;
102659;   ;EZ;;
102659;   ;LB;;
102659;   ;SB;;
102659;   ;GB;;
102659;   ;GH;;
102659;   ;SG;;
102659;   ;BL;;
102659;   ;SH;;
102660;   ;EZ;;
102660;   ;LB;;
102660;   ;SB;;
102660;   ;GB;;
102660;   ;GH;;
102660;   ;SG;;
102660;   ;BL;;
102660;   ;SH;;
102672;   ;EZ;;
102672;   ;LB;;
102672;   ;SB;;
102672;   ;GB;;
102672;   ;GH;;
102672;   ;SG;;
102672;   ;BL;;
102672;   ;SH;;
102696;   ;EZ;;
102696;   ;LB;;
102696;   ;SB;;
102696;   ;GB;;
102696;   ;GH;;
102696;   ;SG;;
102696;   ;BL;;
102696;   ;SH;;
102702;   ;BL;;
102702;   ;SH;;
102702;   ;EZ;;
102702;   ;LB;;
102702;   ;SB;;
102702;   ;GB;;
102702;   ;GH;;
102702;   ;SG;;
102714;   ;EZ;;
102714;   ;LB;;
102714;   ;SB;;
102714;   ;GB;;
102714;   ;GH;;
102714;   ;SG;;
102714;   ;BL;;
102714;   ;SH;;
102726;   ;BL;;
102726;   ;SH;;
102726;   ;EZ;;
102726;   ;LB;;
102726;   ;SB;;
102726;   ;GB;;
102726;   ;GH;;
102726;   ;SG;;
102738;   ;EZ;;
102738;   ;LB;;
102738;   ;SB;;
102738;   ;GB;;
102738;   ;GH;;
102738;   ;SG;;
102738;   ;BL;;
102738;   ;SH;;
102740;   ;BL;;
102740;   ;SH;;
102740;   ;EZ;;
102740;   ;LB;;
102740;   ;SB;;
102740;   ;GB;;
102740;   ;GH;;
102740;   ;SG;;
102751;   ;EZ;;
102751;   ;LB;;
102751;   ;SB;;
102751;   ;GB;;
102751;   ;GH;;
102751;   ;SG;;
102751;   ;BL;;
102751;   ;SH;;
102763;   ;BL;;
102763;   ;SH;;
102763;   ;EZ;;
102763;   ;LB;;
102763;   ;SB;;
102763;   ;GB;;
102763;   ;GH;;
102763;   ;SG;;
102775;   ;EZ;;
102775;   ;LB;;
102775;   ;SB;;
102775;   ;GB;;
102775;   ;GH;;
102775;   ;SG;;
102775;   ;BL;;
102775;   ;SH;;
102787;   ;BL;;
102787;   ;SH;;
102787;   ;EZ;;
