"ID";"Gruppe";"KurzBez";"Bezeichnung";"Grundschule";"Tabelle";"DBFeld";"Typ";"Control";"WerteAnzeige";"WerteSQL";"LookupInfo";"OperatorenAnzeige";"OperatorenSQL";"Zusatzbedingung";"ZusatzTabellen"
36;S;Haupt-Förderschwerpunkt;Schüler: Haupt-Förderschwerpunkt;+;Schueler;Foerderschwerpunkt_ID;N;DBLOOKUP;;;"dsFoerderschwerpunkt;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
37;S;Anschreiben am;Schüler: Anschreiben am;+;Schueler;Anschreibdatum;D;DATEEDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
38;S;Schuljahr;Schüler: Schuljahr;+;Schueler;AktSchuljahr;N;EDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
39;S;Schuljahres-Abschnitt;Schüler: Schuljahres-Abschnitt;+;Schueler;AktAbschnitt;N;EDIT;;;;"gleich;größer;größer gleich;kleiner;kleiner gleich;leer;nicht leer";"=;>;>=;<;<=;IS NULL;IS NOT NULL";;
40;S;Einschulungsart;Schüler: Einschulungsart;+;Schueler;EinschulungsartASD;C;EDIT;;;"dsEinschulungsArt;Beschreibung;Art";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
41;S;Schulgliederung;Schüler: Schulgliederung;+;Schueler;ASDSchulform;C;DBLOOKUP;;;"dsEigeneSchule_SF;Schulform;SGL";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";;
42;S;Ort;Schüler: Ort;+;K_Ort;Bezeichnung;C;EDIT;;;;"gleich;ungleich;enthält;beginnt mit";"=;<>;LIKE;like";Schueler.PLZ=K_Ort.PLZ;
43;E;Erzieher-Art;Erzieher: Erzieher-Art;+;SchuelerErzAdr;Erzieherart_ID;N;DBLOOKUP;;;"dsErzieherArt;Bezeichnung;ID";"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
44;E;Anrede 1. Person;Erzieher: Anrede 1.Person;+;SchuelerErzAdr;Anrede1;C;LOOKUP;"Herr;Frau";"Herr;Frau";;"gleich;ungleich;leer;nicht leer";"=;<>;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
45;E;Titel 1.Person;Erzieher: Titel 1.Person;+;SchuelerErzAdr;Titel1;C;EDIT;;;;"gleich;enthält;leer;nicht leer";"=;LIKE;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
46;E;Name 1.Person;Erzieher: Name 1.Person;+;SchuelerErzAdr;Name1;C;EDIT;;;;"gleich;enthält;leer;nicht leer";"=;LIKE;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
47;E;Titel 2.Person;Erzieher: Titel 2.Person;+;SchuelerErzAdr;Titel2;C;EDIT;;;;"gleich;enthält;leer;nicht leer";"=;LIKE;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
48;E;Name 2.Person;Erzieher: Name 2.Person;+;SchuelerErzAdr;Name2;C;EDIT;;;;"gleich;enthält;leer;nicht leer";"=;LIKE;IS NULL;IS NOT NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
49;E;Straße;Erzieher: Straße;+;SchuelerErzAdr;ErzStrasse;C;EDIT;;;;"gleich;enthält;beginnt mit;leer";"=;LIKE;like;IS NULL";Schueler.ID=SchuelerErzAdr.Schueler_ID;
